Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Texas Medical Center,TX00014,1841 Washington Blvd,El Paso,TX,64915,El Paso County,(440) 866-4819,Acute Care Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average
Texas Regional Hospital,TX00015,4277 Maple Blvd,Fort Worth,TX,83329,Fort Worth County,(940) 339-5225,Critical Access Hospital,Voluntary non-profit - Private,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Austin Clinic,TX00016,6037 University Way,Austin,TX,51062,Austin County,(545) 874-6861,Acute Care Hospital,Government - Local,Yes,3,No,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Texas Regional Hospital,TX00017,5511 Broadway Ave,Houston,TX,78158,Houston County,(297) 624-1250,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average
General Jeffrey Health Center,TX00018,2233 Center St,Houston,TX,11560,Houston County,(265) 422-9077,Acute Care Hospital,Government - Federal,Yes,3,No,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average
Texas County Hospital,TX00019,9625 Church St,Plano,TX,16265,Plano County,(465) 920-7843,Psychiatric Hospital,Government - State,No,4,Yes,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Texas Health System,TX00020,3064 Maple Blvd,Lubbock,TX,28945,Lubbock County,(622) 583-2354,Critical Access Hospital,Proprietary,No,4,No,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Mount Paul Regional Hospital,TX00021,8272 Oak St,San Antonio,TX,67595,San Antonio County,(710) 487-5095,Critical Access Hospital,Government - Local,Yes,Not Available,No,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Texas Veterans Hospital,TX00022,5808 Washington Ave,Houston,TX,58319,Houston County,(542) 807-4434,Children's Hospital,Voluntary non-profit - Church,Yes,5,Yes,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Corpus Christi Memorial Hospital,TX00023,1273 Park Blvd,Corpus Christi,TX,57419,Corpus Christi County,(211) 519-7935,Rehabilitation Hospital,Government - Local,Yes,Not Available,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Plano University Hospital,TX00024,2983 University Way,Plano,TX,56798,Plano County,(210) 221-9916,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
San Antonio City Hospital,TX00025,8085 Park Way,San Antonio,TX,14682,San Antonio County,(995) 927-9058,Long-Term Care Hospital,Government - Federal,Yes,3,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average
Texas Veterans Hospital,TX00026,3194 University Ave,Austin,TX,94899,Austin County,(387) 709-9010,Acute Care Hospital,Voluntary non-profit - Church,Yes,1,Yes,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average
Mount Paul Community Hospital,TX00027,8756 Broadway St,Plano,TX,15695,Plano County,(889) 339-6468,Psychiatric Hospital,Government - Federal,No,1,Yes,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
St. Thomas Regional Hospital,TX00028,5549 Second Way,Corpus Christi,TX,83559,Corpus Christi County,(948) 575-7193,Psychiatric Hospital,Voluntary non-profit - Other,Yes,4,No,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Dallas Health System,TX00029,9533 Oak Dr,Dallas,TX,97607,Dallas County,(378) 898-9511,Acute Care Hospital,Government - State,Yes,4,No,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average
Corpus Christi Regional Hospital,TX00030,1843 Washington Way,Corpus Christi,TX,64360,Corpus Christi County,(929) 200-2964,Psychiatric Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Texas County Hospital,TX00031,6644 College Dr,Houston,TX,39497,Houston County,(637) 685-8114,Acute Care Hospital,Proprietary,Yes,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
St. Karen City Hospital,TX00032,3645 Second Blvd,Austin,TX,12144,Austin County,(577) 901-4866,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Texas Health System,TX00033,5523 Park Blvd,Lubbock,TX,90831,Lubbock County,(470) 946-3008,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,1,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Mount George Children's Hospital,TX00034,5423 Maple Dr,Houston,TX,72343,Houston County,(425) 968-9794,Acute Care Hospital,Government - Local,Yes,3,Yes,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Texas General Hospital,TX00035,1437 College St,Plano,TX,68106,Plano County,(591) 681-7532,Acute Care Hospital,Voluntary non-profit - Church,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Regional Matthew Memorial Hospital,TX00036,8622 College Ave,Lubbock,TX,46085,Lubbock County,(642) 895-2016,Children's Hospital,Proprietary,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Texas County Hospital,TX00037,5771 College St,Plano,TX,68733,Plano County,(238) 884-9881,Children's Hospital,Proprietary,No,4,Yes,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Texas County Hospital,TX00038,9505 Main Blvd,Houston,TX,63430,Houston County,(551) 383-3620,Acute Care Hospital,Voluntary non-profit - Private,No,4,No,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Lubbock Hospital,TX00039,2716 Oak Dr,Lubbock,TX,37764,Lubbock County,(716) 525-5536,Long-Term Care Hospital,Government - Federal,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average
Texas Veterans Hospital,TX00040,5017 Second Blvd,Austin,TX,13145,Austin County,(773) 328-3166,Acute Care Hospital,Proprietary,Yes,3,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Regional Daniel Clinic,TX00041,2030 Main Dr,San Antonio,TX,65269,San Antonio County,(658) 424-6535,Critical Access Hospital,Voluntary non-profit - Private,Yes,Not Available,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
Texas Memorial Hospital,TX00042,7161 University Blvd,San Antonio,TX,70706,San Antonio County,(436) 767-7654,Psychiatric Hospital,Government - Federal,No,3,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Plano General Hospital,TX00043,520 Washington Ave,Plano,TX,34091,Plano County,(935) 918-4978,Acute Care Hospital,Voluntary non-profit - Private,Yes,2,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
St. Steven Community Hospital,TX00044,8627 Main Way,Fort Worth,TX,99431,Fort Worth County,(222) 223-2243,Acute Care Hospital,Voluntary non-profit - Other,No,3,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Mount Anthony Veterans Hospital,TX00045,9673 Center Way,Corpus Christi,TX,38092,Corpus Christi County,(853) 609-8495,Acute Care Hospital,Voluntary non-profit - Church,No,3,No,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Texas Regional Medical Center,TX00046,7376 Second Blvd,Arlington,TX,25627,Arlington County,(840) 796-8121,Acute Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
General John City Hospital,TX00047,492 Medical Blvd,Austin,TX,33924,Austin County,(629) 927-5594,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Plano Healthcare,TX00048,9696 Medical Blvd,Plano,TX,43225,Plano County,(366) 425-1694,Acute Care Hospital,Proprietary,No,2,No,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average
General Thomas Healthcare,TX00049,2489 Washington St,Fort Worth,TX,43587,Fort Worth County,(445) 748-4347,Rehabilitation Hospital,Proprietary,Yes,2,No,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
General Ronald Health System,TX00050,3955 College Ave,Fort Worth,TX,38843,Fort Worth County,(318) 790-2572,Acute Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average
Memorial David Hospital,TX00051,2952 Main St,Corpus Christi,TX,88977,Corpus Christi County,(852) 988-9568,Psychiatric Hospital,Government - Local,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average
Texas City Hospital,TX00052,7962 Hospital Way,Corpus Christi,TX,84729,Corpus Christi County,(617) 416-9835,Psychiatric Hospital,Voluntary non-profit - Church,No,4,Yes,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
St. Donald County Hospital,TX00053,9809 Medical St,Austin,TX,96890,Austin County,(578) 929-5504,Children's Hospital,Voluntary non-profit - Other,No,1,Yes,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Memorial Kimberly Healthcare,TX00054,776 Main Way,Corpus Christi,TX,34950,Corpus Christi County,(396) 326-5181,Rehabilitation Hospital,Proprietary,Yes,Not Available,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Regional Edward Health Center,TX00055,8479 First Ave,Plano,TX,75502,Plano County,(973) 262-1874,Rehabilitation Hospital,Government - State,No,5,Yes,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average
General Kimberly Clinic,TX00056,5453 Second Dr,Houston,TX,31545,Houston County,(533) 719-6185,Children's Hospital,Proprietary,No,2,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
Texas Veterans Hospital,TX00057,9581 Washington Dr,Houston,TX,87340,Houston County,(669) 435-4016,Long-Term Care Hospital,Government - Federal,Yes,2,No,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
Texas University Hospital,TX00058,8745 Hospital Blvd,San Antonio,TX,60301,San Antonio County,(918) 867-8166,Acute Care Hospital,Government - Federal,Yes,3,No,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Texas Regional Hospital,TX00059,9669 Healthcare Dr,San Antonio,TX,86350,San Antonio County,(906) 515-5867,Psychiatric Hospital,Government - Local,Yes,Not Available,No,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average
St. Elizabeth Community Hospital,TX00060,5542 College Way,Dallas,TX,92246,Dallas County,(227) 401-6423,Acute Care Hospital,Voluntary non-profit - Church,Yes,5,Yes,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Texas Children's Hospital,TX00061,7742 College Ave,Plano,TX,62285,Plano County,(513) 649-6698,Acute Care Hospital,Government - Federal,Yes,Not Available,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
Regional James Hospital,TX00062,6904 Center Dr,Fort Worth,TX,90300,Fort Worth County,(390) 412-5593,Acute Care Hospital,Government - State,Yes,2,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average
Texas University Hospital,TX00063,6024 Main Way,Arlington,TX,28684,Arlington County,(668) 243-5079,Children's Hospital,Government - Federal,Yes,Not Available,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Corpus Christi General Hospital,TX00064,4805 Medical St,Corpus Christi,TX,39197,Corpus Christi County,(858) 304-2790,Children's Hospital,Government - Local,Yes,Not Available,Yes,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Lubbock Medical Center,TX00065,5405 First St,Lubbock,TX,76836,Lubbock County,(694) 588-5635,Long-Term Care Hospital,Government - Local,Yes,Not Available,No,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
Mount Linda General Hospital,TX00066,7372 Oak Ave,Arlington,TX,15864,Arlington County,(635) 777-4342,Psychiatric Hospital,Voluntary non-profit - Private,Yes,3,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Texas Clinic,TX00067,4097 Third Ave,Corpus Christi,TX,77424,Corpus Christi County,(226) 502-7153,Long-Term Care Hospital,Government - State,Yes,2,No,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average
Texas City Hospital,TX00068,7967 Oak Ave,Lubbock,TX,92595,Lubbock County,(989) 485-5166,Psychiatric Hospital,Proprietary,Yes,5,Yes,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average
Fort Worth University Hospital,TX00069,3228 Healthcare Way,Fort Worth,TX,96645,Fort Worth County,(303) 436-7545,Children's Hospital,Proprietary,Yes,1,No,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average
Fort Worth Children's Hospital,TX00070,5600 Medical Blvd,Fort Worth,TX,86973,Fort Worth County,(629) 683-6537,Acute Care Hospital,Government - State,Yes,5,No,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
Regional John Memorial Hospital,TX00071,7125 Third Way,Plano,TX,63979,Plano County,(293) 736-5779,Critical Access Hospital,Government - State,Yes,4,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Texas Community Hospital,TX00072,8988 Oak St,Arlington,TX,18302,Arlington County,(826) 751-4778,Long-Term Care Hospital,Government - State,Yes,5,Yes,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Texas General Hospital,TX00073,2922 Hospital Dr,Austin,TX,91055,Austin County,(869) 660-8555,Critical Access Hospital,Government - Federal,Yes,5,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Texas Community Hospital,TX00074,1178 Broadway St,Arlington,TX,58387,Arlington County,(221) 602-2373,Acute Care Hospital,Voluntary non-profit - Other,No,4,Yes,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Texas City Hospital,TX00075,5563 Lincoln St,Corpus Christi,TX,99149,Corpus Christi County,(462) 872-3213,Acute Care Hospital,Voluntary non-profit - Church,No,2,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average
Memorial Kenneth Hospital,TX00076,2316 Healthcare Dr,Fort Worth,TX,41453,Fort Worth County,(889) 341-3807,Critical Access Hospital,Voluntary non-profit - Other,Yes,1,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Lubbock Health System,TX00077,5312 Broadway Ave,Lubbock,TX,56583,Lubbock County,(539) 229-6815,Acute Care Hospital,Government - State,Yes,1,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Arlington City Hospital,TX00078,8123 Second St,Arlington,TX,19640,Arlington County,(240) 354-4224,Psychiatric Hospital,Voluntary non-profit - Private,Yes,1,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Texas General Hospital,TX00079,2795 Center Ave,Dallas,TX,82930,Dallas County,(425) 596-9692,Long-Term Care Hospital,Government - Federal,Yes,1,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Below the national average
Texas University Hospital,TX00080,5691 Oak St,Houston,TX,15996,Houston County,(820) 874-9379,Children's Hospital,Voluntary non-profit - Church,Yes,5,No,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
El Paso Children's Hospital,TX00081,7267 Broadway Way,El Paso,TX,67575,El Paso County,(304) 897-2411,Critical Access Hospital,Voluntary non-profit - Private,No,2,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Texas Clinic,TX00082,7522 Healthcare Ave,Houston,TX,56299,Houston County,(215) 583-1765,Critical Access Hospital,Voluntary non-profit - Other,No,5,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Regional Ashley Children's Hospital,TX00083,9972 Church St,Corpus Christi,TX,67794,Corpus Christi County,(627) 836-6247,Rehabilitation Hospital,Government - Federal,No,3,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Texas Community Hospital,TX00084,3736 Broadway St,Arlington,TX,99982,Arlington County,(545) 414-1089,Long-Term Care Hospital,Government - Local,Yes,3,No,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Texas Medical Center,TX00085,1700 Third Ave,Corpus Christi,TX,69103,Corpus Christi County,(478) 626-1796,Psychiatric Hospital,Government - State,No,3,No,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Memorial Richard General Hospital,TX00086,7090 Medical St,Arlington,TX,53751,Arlington County,(842) 843-8017,Psychiatric Hospital,Voluntary non-profit - Private,Yes,1,No,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
El Paso County Hospital,TX00087,909 Healthcare Blvd,El Paso,TX,46303,El Paso County,(570) 918-8277,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,5,No,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Texas University Hospital,TX00088,5865 Hospital Ave,Austin,TX,73704,Austin County,(371) 678-6628,Acute Care Hospital,Voluntary non-profit - Other,No,4,No,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Corpus Christi Memorial Hospital,TX00089,8782 Healthcare Ave,Corpus Christi,TX,74461,Corpus Christi County,(739) 576-2091,Children's Hospital,Government - Federal,Yes,3,No,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Texas Memorial Hospital,TX00090,2901 Church St,Arlington,TX,90538,Arlington County,(469) 904-8145,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
General Jeffrey Community Hospital,TX00091,8258 Healthcare Ave,Austin,TX,62014,Austin County,(610) 537-1623,Psychiatric Hospital,Voluntary non-profit - Church,No,5,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average
Regional Nancy Clinic,TX00092,8723 University St,Houston,TX,45189,Houston County,(918) 216-4715,Rehabilitation Hospital,Government - State,Yes,4,No,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
Texas Healthcare,TX00093,7057 Second St,Fort Worth,TX,73780,Fort Worth County,(439) 632-4651,Critical Access Hospital,Proprietary,Yes,3,No,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
Texas University Hospital,TX00094,9943 Oak Blvd,Dallas,TX,41086,Dallas County,(399) 510-8965,Psychiatric Hospital,Government - Federal,Yes,3,No,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Texas Children's Hospital,TX00095,748 Third Way,Fort Worth,TX,35399,Fort Worth County,(777) 493-5462,Psychiatric Hospital,Government - Local,Yes,4,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average
Regional Ashley Regional Medical Center,TX00096,8845 Broadway Dr,Houston,TX,83040,Houston County,(999) 744-3857,Long-Term Care Hospital,Government - State,No,2,No,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Corpus Christi Hospital,TX00097,4395 Center Dr,Corpus Christi,TX,93093,Corpus Christi County,(783) 904-4986,Critical Access Hospital,Government - Federal,Yes,2,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Regional Betty General Hospital,TX00098,2142 Broadway Way,Plano,TX,38241,Plano County,(473) 326-4829,Critical Access Hospital,Proprietary,No,3,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Lubbock University Hospital,TX00099,7406 Hospital Ave,Lubbock,TX,14687,Lubbock County,(871) 532-2893,Acute Care Hospital,Government - Federal,Yes,2,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Memorial George County Hospital,TX00100,4710 Washington Ave,Houston,TX,18210,Houston County,(606) 496-4385,Acute Care Hospital,Voluntary non-profit - Other,Yes,2,Yes,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
General Barbara General Hospital,TX00101,8457 Market Blvd,San Antonio,TX,42896,San Antonio County,(418) 416-6231,Children's Hospital,Voluntary non-profit - Church,Yes,2,No,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Houston University Hospital,TX00102,9765 Park St,Houston,TX,13611,Houston County,(204) 625-5056,Acute Care Hospital,Government - State,No,4,No,Below the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
St. Mary General Hospital,TX00103,8739 Medical Ave,San Antonio,TX,35470,San Antonio County,(303) 698-9998,Long-Term Care Hospital,Government - State,Yes,5,No,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average
Mount Elizabeth University Hospital,TX00104,325 Medical Dr,Arlington,TX,92288,Arlington County,(525) 829-6655,Long-Term Care Hospital,Proprietary,Yes,Not Available,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Texas Children's Hospital,TX00105,2646 First Dr,Dallas,TX,21071,Dallas County,(844) 438-1116,Long-Term Care Hospital,Government - Local,Yes,Not Available,Yes,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
General Thomas Health System,TX00106,386 University Ave,Arlington,TX,28403,Arlington County,(776) 248-2299,Rehabilitation Hospital,Government - Federal,Yes,4,No,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Texas Clinic,TX00107,4480 College Dr,Corpus Christi,TX,42213,Corpus Christi County,(678) 929-6705,Acute Care Hospital,Government - Local,No,3,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Texas Veterans Hospital,TX00108,5096 Park Way,Austin,TX,14616,Austin County,(480) 813-9544,Children's Hospital,Voluntary non-profit - Private,Yes,3,No,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Regional Michael Hospital,TX00109,184 Park St,San Antonio,TX,46480,San Antonio County,(747) 466-8395,Critical Access Hospital,Government - State,Yes,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Texas Healthcare,TX00110,5598 Main Dr,Dallas,TX,26227,Dallas County,(801) 248-2646,Long-Term Care Hospital,Government - State,No,5,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average
St. Michelle Regional Hospital,TX00111,1997 Park St,San Antonio,TX,52652,San Antonio County,(928) 523-7109,Rehabilitation Hospital,Voluntary non-profit - Other,No,4,No,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
El Paso University Hospital,TX00112,1559 Maple Ave,El Paso,TX,63888,El Paso County,(866) 410-1089,Critical Access Hospital,Government - State,No,4,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Texas Community Hospital,TX00113,2729 Medical Dr,Arlington,TX,65449,Arlington County,(378) 783-9829,Critical Access Hospital,Voluntary non-profit - Other,No,4,Yes,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average
Texas Medical Center,TX00114,4762 Washington Blvd,Corpus Christi,TX,56630,Corpus Christi County,(935) 360-6043,Acute Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
St. Edward Community Hospital,TX00115,5298 Third Ave,San Antonio,TX,72598,San Antonio County,(441) 671-8059,Children's Hospital,Voluntary non-profit - Other,No,1,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
